timestamp,position,position_conf,role,role_conf,state,state_conf,pose_pair,identity_resolved
5292.0,takedown,0.0,unknown,0.0,takedown1,0.0,False,False
5292.5,takedown,0.7375288948043276,athlete2,0.9822923865965335,takedown1,0.5419615956682214,True,True
5293.0,takedown,0.6194881690043237,athlete2,0.9330519999843189,takedown1,0.6187625767548196,True,True
5293.5,takedown,0.8561239900034633,athlete2,0.9699039751709063,takedown1,0.5725436204197274,True,True
5294.0,takedown,0.7739324129821908,athlete2,0.9956497099939438,takedown1,0.9120800309232331,True,True
5294.5,takedown,0.6876217906717129,athlete2,0.9004348156311225,takedown1,0.6479985360181009,True,True
5295.0,takedown,0.6592846802702955,athlete2,0.9773263240515028,takedown1,0.4586717489868113,True,True
5295.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5296.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5296.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5297.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5297.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5298.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5298.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5299.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5299.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5300.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5300.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5301.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5301.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5302.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5302.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5303.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5303.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5304.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5304.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5305.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5305.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5306.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5306.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5307.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5307.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5308.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5308.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5309.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5309.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5310.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5310.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5311.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5311.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5312.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5312.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5313.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5313.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5314.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5314.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5315.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5315.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5316.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5316.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5317.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5317.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5318.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5318.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5319.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5319.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5320.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5320.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5321.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5321.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5322.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5322.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5323.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5323.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5324.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5324.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5325.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5325.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5326.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5326.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5327.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5327.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5328.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5328.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5329.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5329.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5330.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5330.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5331.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5331.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5332.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5332.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5333.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5333.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5334.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5334.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5335.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5335.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5336.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5336.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5337.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5337.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5338.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5338.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5339.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5339.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5340.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5340.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5341.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5341.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5342.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5342.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5343.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5343.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5344.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5344.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5345.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5345.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5346.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5346.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5347.0,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
5347.5,unknown,0.0,athlete2,0.0,unknown,0.0,False,False
