timestamp,position,position_conf,role,role_conf,state,state_conf,pose_pair
5292.0,unknown,0.0,athlete2,0.0,unknown,0.0,False
5292.5,unknown,0.7375288948043276,athlete2,0.9822923865965335,unknown,0.5419615956682214,True
5293.0,unknown,0.6903682234560198,athlete2,0.7587256499292477,unknown,0.40356920415648934,True
5293.5,unknown,0.8561239900034633,athlete2,0.9699039751709063,unknown,0.5725436204197274,True
5294.0,unknown,0.7739324129821908,athlete2,0.9956497099939438,unknown,0.9120800309232331,True
5294.5,unknown,0.6876217906717129,athlete2,0.9004348156311225,unknown,0.6479985360181009,True
5295.0,unknown,0.6592846802702955,athlete2,0.9773263240515028,unknown,0.4586717489868113,True
5295.5,unknown,0.0,athlete2,0.0,unknown,0.0,False
5296.0,unknown,0.0,athlete2,0.0,unknown,0.0,False
5296.5,unknown,0.0,athlete2,0.0,unknown,0.0,False
5297.0,unknown,0.0,athlete2,0.0,unknown,0.0,False
5297.5,unknown,0.0,athlete2,0.0,unknown,0.0,False
5298.0,unknown,0.427448831222429,athlete2,0.5188054358374857,unknown,0.7943699478316532,True
5298.5,unknown,0.7767071315402974,athlete2,0.41751682482199637,unknown,0.8324959780780089,True
5299.0,unknown,0.846214576673171,athlete2,0.484229430120887,unknown,0.3519851186882002,True
5299.5,unknown,0.9963463264545971,athlete2,0.8308559103592449,unknown,0.9934520331987032,True
5300.0,unknown,0.0,athlete2,0.0,unknown,0.0,False
5300.5,unknown,0.0,athlete2,0.0,unknown,0.0,False
5301.0,unknown,0.0,athlete2,0.0,unknown,0.0,False
5301.5,unknown,0.0,athlete2,0.0,unknown,0.0,False
5302.0,unknown,0.0,athlete2,0.0,unknown,0.0,False
5302.5,unknown,0.0,athlete2,0.0,unknown,0.0,False
5303.0,unknown,0.0,athlete2,0.0,unknown,0.0,False
5303.5,unknown,0.0,athlete2,0.0,unknown,0.0,False
5304.0,unknown,0.6521024588154647,athlete2,0.9590223896486059,unknown,0.9134820587205493,True
5304.5,turtle,0.0,athlete2,0.0,side_control1,0.0,False
5305.0,turtle,0.0,athlete2,0.0,side_control1,0.0,False
5305.5,turtle,0.0,athlete2,0.0,side_control1,0.0,False
5306.0,unknown,0.6934686385512167,athlete2,0.6664350820646104,unknown,0.7401810655879201,True
5306.5,unknown,0.6524157800573883,athlete2,0.7471578516953555,unknown,0.7699624621060521,True
5307.0,unknown,0.3981781071378442,athlete2,0.8459557600794749,unknown,0.5295857450692214,True
5307.5,unknown,0.0,athlete2,0.0,unknown,0.0,False
5308.0,unknown,0.0,athlete2,0.0,unknown,0.0,False
5308.5,unknown,0.0,athlete2,0.0,unknown,0.0,False
5309.0,unknown,0.0,athlete2,0.0,unknown,0.0,False
5309.5,unknown,0.0,athlete2,0.0,unknown,0.0,False
5310.0,unknown,0.0,athlete2,0.0,unknown,0.0,False
5310.5,unknown,0.0,athlete2,0.0,unknown,0.0,False
5311.0,unknown,0.6216142174835945,athlete2,0.5494277970577178,unknown,0.8978769223392886,True
5311.5,unknown,0.0,athlete2,0.0,unknown,0.0,False
