start,end,duration,samples,position,symmetric,top_track_id,top_athlete_id,bottom_track_id,bottom_athlete_id
5086.0,5101.0,15.0,15,unknown,False,,,,
5101.0,5104.0,3.0,3,standing,True,,,,
5104.0,5108.0,4.0,4,unknown,False,,,,
5108.0,5109.0,1.0,1,standing,True,,,,
5109.0,5140.0,31.0,31,unknown,False,,,,
5140.0,5141.0,1.0,1,back,False,track_0,,,
5141.0,5148.0,7.0,7,unknown,False,,,,
5148.0,5149.0,1.0,1,back,False,track_0,,,
5149.0,5155.0,6.0,6,unknown,False,,,,
5155.0,5156.0,1.0,1,open guard,False,,,track_0,
5156.0,5160.0,4.0,4,unknown,False,,,,
5160.0,5161.0,1.0,1,back,False,track_0,,,
5161.0,5162.0,1.0,1,unknown,False,,,,
5162.0,5164.0,2.0,2,takedown,False,,,track_0,
5164.0,5170.0,6.0,6,unknown,False,,,,
5170.0,5171.0,1.0,1,back,False,track_0,,,
5171.0,5183.0,12.0,12,unknown,False,,,,
5183.0,5184.0,1.0,1,standing,True,,,,
5184.0,5203.0,19.0,19,unknown,False,,,,
5203.0,5204.0,1.0,1,standing,True,,,,
5204.0,5292.0,88.0,88,unknown,False,,,,
5292.0,5293.0,1.0,1,standing,True,,,,
5293.0,5299.0,6.0,6,unknown,False,,,,
5299.0,5301.0,2.0,2,back,False,track_0,,,
5301.0,5311.0,10.0,10,unknown,False,,,,
5311.0,5312.0,1.0,1,back,False,track_0,,,
5312.0,5322.0,10.0,10,unknown,False,,,,
5322.0,5324.0,2.0,2,back,False,track_0,,,
5324.0,5325.0,1.0,1,unknown,False,,,,
5325.0,5326.0,1.0,1,back,False,track_0,,,
5326.0,5330.0,4.0,4,unknown,False,,,,
5330.0,5331.0,1.0,1,back,False,track_0,,,
5331.0,5333.0,2.0,2,unknown,False,,,,
5333.0,5334.0,1.0,1,back,False,track_0,,,
5334.0,5355.0,21.0,21,unknown,False,,,,
5355.0,5356.0,1.0,1,back,False,track_0,,,
5356.0,5372.0,16.0,16,unknown,False,,,,
5372.0,5373.0,1.0,1,back,False,track_0,,,
5373.0,5388.0,15.0,15,unknown,False,,,,
5388.0,5389.0,1.0,1,standing,True,,,,
5389.0,5395.0,6.0,6,unknown,False,,,,
5395.0,5396.0,1.0,1,standing,True,,,,
5396.0,5407.0,11.0,11,unknown,False,,,,
5407.0,5408.0,1.0,1,open guard,False,,,track_0,
5408.0,5415.0,7.0,7,unknown,False,,,,
5415.0,5417.0,2.0,2,open guard,False,,,track_0,
5417.0,5418.0,1.0,1,unknown,False,,,,
5418.0,5419.0,1.0,1,back,False,track_0,,,
5419.0,5436.0,17.0,17,unknown,False,,,,
5436.0,5437.0,1.0,1,standing,True,,,,
5437.0,5438.0,1.0,1,back,False,track_0,,,
5438.0,5441.0,3.0,3,unknown,False,,,,
5441.0,5443.0,2.0,2,back,False,track_0,,,
5443.0,5488.0,45.0,45,unknown,False,,,,
5488.0,5489.0,1.0,1,back,False,track_0,,,
5489.0,5497.0,8.0,8,unknown,False,,,,
5497.0,5498.0,1.0,1,standing,True,,,,
5498.0,5511.0,13.0,13,unknown,False,,,,
