timestamp,position,position_conf,role,role_conf,state,state_conf,pose_pair
5292.0,unknown,0.0,unknown,0.0,unknown,0.0,False
5292.5,takedown,0.7375288948043276,athlete2,0.9822923865965335,open_guard2,0.5419615956682214,True
5293.0,back,0.6903682234560198,none,0.7587256499292477,back2,0.40356920415648934,True
5293.5,takedown,0.8561239900034633,athlete2,0.9699039751709063,takedown1,0.5725436204197274,True
5294.0,open_guard,0.7739324129821908,athlete2,0.9956497099939438,open_guard2,0.9120800309232331,True
5294.5,standing,0.6876217906717129,athlete2,0.9004348156311225,open_guard2,0.6479985360181009,True
5295.0,takedown,0.6592846802702955,athlete2,0.9773263240515028,takedown1,0.4586717489868113,True
5295.5,unknown,0.0,unknown,0.0,unknown,0.0,False
5296.0,unknown,0.0,unknown,0.0,unknown,0.0,False
5296.5,unknown,0.0,unknown,0.0,unknown,0.0,False
5297.0,unknown,0.0,unknown,0.0,unknown,0.0,False
5297.5,unknown,0.0,unknown,0.0,unknown,0.0,False
5298.0,back,0.427448831222429,athlete2,0.5188054358374857,closed_guard2,0.7943699478316532,True
5298.5,back,0.7767071315402974,none,0.41751682482199637,back1,0.8324959780780089,True
5299.0,turtle,0.846214576673171,athlete2,0.484229430120887,open_guard2,0.3519851186882002,True
5299.5,standing,0.9963463264545971,none,0.8308559103592449,standing,0.9934520331987032,True
5300.0,unknown,0.0,unknown,0.0,unknown,0.0,False
5300.5,unknown,0.0,unknown,0.0,unknown,0.0,False
5301.0,unknown,0.0,unknown,0.0,unknown,0.0,False
5301.5,unknown,0.0,unknown,0.0,unknown,0.0,False
5302.0,unknown,0.0,unknown,0.0,unknown,0.0,False
5302.5,unknown,0.0,unknown,0.0,unknown,0.0,False
5303.0,unknown,0.0,unknown,0.0,unknown,0.0,False
5303.5,unknown,0.0,unknown,0.0,unknown,0.0,False
5304.0,turtle,0.6521024588154647,athlete1,0.9590223896486059,side_control1,0.9134820587205493,True
5304.5,unknown,0.0,unknown,0.0,unknown,0.0,False
5305.0,unknown,0.0,unknown,0.0,unknown,0.0,False
5305.5,unknown,0.0,unknown,0.0,unknown,0.0,False
5306.0,turtle,0.6934686385512167,athlete2,0.6664350820646104,turtle1,0.7401810655879201,True
5306.5,turtle,0.6524157800573883,athlete2,0.7471578516953555,open_guard2,0.7699624621060521,True
5307.0,takedown,0.3981781071378442,athlete2,0.8459557600794749,closed_guard2,0.5295857450692214,True
5307.5,unknown,0.0,unknown,0.0,unknown,0.0,False
5308.0,unknown,0.0,unknown,0.0,unknown,0.0,False
5308.5,unknown,0.0,unknown,0.0,unknown,0.0,False
5309.0,unknown,0.0,unknown,0.0,unknown,0.0,False
5309.5,unknown,0.0,unknown,0.0,unknown,0.0,False
5310.0,unknown,0.0,unknown,0.0,unknown,0.0,False
5310.5,unknown,0.0,unknown,0.0,unknown,0.0,False
5311.0,open_guard,0.6216142174835945,none,0.5494277970577178,open_guard1,0.8978769223392886,True
5311.5,unknown,0.0,unknown,0.0,unknown,0.0,False
5312.0,unknown,0.0,unknown,0.0,unknown,0.0,False
5312.5,back,0.7337144156287091,athlete2,0.7019794912080694,back1,0.3529768854746105,True
5313.0,takedown,0.5307062762604737,athlete2,0.7165024082796453,half_guard2,0.3984289438405887,True
5313.5,5050_guard,0.5459175162489055,athlete1,0.877832200359812,mount1,0.6210972238572803,True
5314.0,unknown,0.0,unknown,0.0,unknown,0.0,False
5314.5,takedown,0.5738177583650103,none,0.7583561344415309,takedown1,0.38708732433186815,True
5315.0,standing,0.5640334447929275,none,0.9161696481055892,standing,0.5994759048749363,True
5315.5,5050_guard,0.37075502505772423,none,0.7976933038027307,back2,0.4814694104588642,True
5316.0,takedown,0.2698457890598634,none,0.7842492816183102,back2,0.6820917636352701,True
5316.5,takedown,0.6421552215008093,none,0.7991265308089001,back2,0.42907384193650905,True
5317.0,takedown,0.4992154409473054,none,0.7789481568447622,back2,0.5246314287866067,True
5317.5,takedown,0.582777327909897,none,0.8215544062001657,takedown1,0.24848760073461557,True
5318.0,takedown,0.4753455903925488,none,0.5672236233398046,takedown2,0.7178369400424613,True
5318.5,takedown,0.5925953061383257,none,0.7713863881180233,takedown2,0.3868596956207783,True
5319.0,takedown,0.6829118016840301,none,0.7538315870383759,takedown2,0.4550332532881317,True
5319.5,takedown,0.691139195602443,none,0.7628875670795903,takedown2,0.6811129675100073,True
5320.0,takedown,0.5871945925930858,none,0.6896176989791162,standing,0.38708544584941557,True
